Company,Year,Station Location,"Rainfall Station (District, Elevation)",Energy Generation (GWh),generation_gwh_lag_1y,generation_gwh_lag_2y,generation_gwh_yoy_change,generation_gwh_yoy_pct_change,generation_gwh_rolling_3y_mean,generation_gwh_rolling_3y_std,generation_gwh_expanding_mean,generation_gwh_vs_company_mean,generation_gwh_company_zscore,generation_cumulative_gwh,generation_per_mm_rainfall,generation_to_rainfall_index
RADHI,2018,Khudi Bazar Lamjung 838m,"Khudi Bazar (Lamjung, 838m)",22.5,,,,,22.5,,22.5,0.21249999999999858,0.30323318732034954,22.5,0.00658722955763094,1.0541806488075813
RADHI,2019,Khudi Bazar Lamjung 838m,"Khudi Bazar (Lamjung, 838m)",22.0,22.5,,-0.5,-0.022222222222222254,22.25,0.3535533905932738,22.25,-0.2875000000000014,-0.41025666519812476,44.5,0.007503154735513795,1.2007598122984318
RADHI,2020,Khudi Bazar Lamjung 838m,"Khudi Bazar (Lamjung, 838m)",23.5,22.0,22.5,1.5,0.06818181818181812,22.666666666666668,0.7637626158259728,22.666666666666668,1.2124999999999986,1.7302128923572981,68.0,0.0050443256702513576,0.8072635789202358
RADHI,2021,Khudi Bazar Lamjung 838m,"Khudi Bazar (Lamjung, 838m)",23.0,23.5,22.0,-0.5,-0.021276595744680882,22.833333333333332,0.7637626158259728,22.75,0.7124999999999986,1.0167230398388238,91.0,0.006034053047196789,0.9656536030180443
RADHI,2022,Khudi Bazar Lamjung 838m,"Khudi Bazar (Lamjung, 838m)",22.0,23.0,23.5,-1.0,-0.04347826086956519,22.833333333333332,0.7637626158259728,22.6,-0.2875000000000014,-0.41025666519812476,113.0,0.006428988895382817,1.0288567637756378
RADHI,2023,Khudi Bazar Lamjung 838m,"Khudi Bazar (Lamjung, 838m)",21.0,22.0,23.0,-1.0,-0.045454545454545414,22.0,0.9999999999999993,22.333333333333332,-1.2875000000000014,-1.8372363702350734,134.0,0.006,0.9602039579018815
RADHI,2024,Khudi Bazar Lamjung 838m,"Khudi Bazar (Lamjung, 838m)",22.3,21.0,22.0,1.3000000000000007,0.06190476190476191,21.766666666666666,0.6806859285554042,22.32857142857143,0.01249999999999929,0.017837246312960842,156.3,0.006194444444444444,0.9913216787598128
RADHI,2025,Khudi Bazar Lamjung 838m,"Khudi Bazar (Lamjung, 838m)",22.0,22.3,21.0,-0.3000000000000007,-0.013452914798206317,21.766666666666666,0.6806859285554042,22.2875,-0.2875000000000014,-0.41025666519812476,178.3,0.006197183098591549,0.9917599565183752
