Sector,Company,Data Version,Statement Type,Particulars,2025/26 (2082/83) Q3,2025/26 (2082/83) Q2,2025/26 (2082/83) Q1,2024/25 (2081/82) Q4,2024/25 (2081/82) Q3,2024/25 (2081/82) Q2,2024/25 (2081/82) Q1,2023/24 (2080/81) Q4,2023/24 (2080/81) Q3,2023/24 (2080/81) Q2,2023/24 (2080/81) Q1,2022/23 (2079/80) Q4,2022/23 (2079/80) Q3,2022/23 (2079/80) Q2,2022/23 (2079/80) Q1,2021/22 (2078/79) Q4,2021/22 (2078/79) Q3,2021/22 (2078/79) Q2,2021/22 (2078/79) Q1,2020/21 (2077/78) Q4,2020/21 (2077/78) Q3,2020/21 (2077/78) Q2,2020/21 (2077/78) Q1,2019/20 (2076/77) Q4,2019/20 (2076/77) Q3,2019/20 (2076/77) Q2,2019/20 (2076/77) Q1,2018/19 (2075/76) Q4,2018/19 (2075/76) Q3,2018/19 (2075/76) Q2,2018/19 (2075/76) Q1,2017/18 (2074/75) Q4,2017/18 (2074/75) Q3,2017/18 (2074/75) Q2,2017/18 (2074/75) Q1,2016/17 (2073/74) Q4,2016/17 (2073/74) Q3,2016/17 (2073/74) Q2,2016/17 (2073/74) Q1,2015/16 (2072/73) Q4,2015/16 (2072/73) Q3,2015/16 (2072/73) Q2,2015/16 (2072/73) Q1,2014/15 (2071/72) Q4,2014/15 (2071/72) Q3,2014/15 (2071/72) Q2,2014/15 (2071/72) Q1,2013/14 (2070/71) Q4,2013/14 (2070/71) Q3,2013/14 (2070/71) Q2,2013/14 (2070/71) Q1,2012/13 (2069/70) Q4,2012/13 (2069/70) Q3,2012/13 (2069/70) Q2,2012/13 (2069/70) Q1,2011/12 (2068/69) Q4,2011/12 (2068/69) Q3,2011/12 (2068/69) Q2,2011/12 (2068/69) Q1,2010/11 (2067/68) Q4,2010/11 (2067/68) Q3,2010/11 (2067/68) Q2,2010/11 (2067/68) Q1
Hydro Power,BARUN,PUBLISHED,BS,Paid up Capital,,1071630.0000,1047786.7000,535815.0000,535815.0000,535815.0000,535815.0000,535815.0000,535815.0000,535815.0000,535815.0000,535815.0000,535815.0000,535815.0000,267907.5000,267907.5000,267907.5000,267907.5000,267907.5000,267907.5000,267907.5000,267907.5000,255150.0000,255150.0000,255150.0000,255150.0000,255150.0000,255150.0000,255150.0000,255150.0000,255150.0000,255150.0000,255150.0000,255150.0000,255150.0000,243000.0000,243000.0000,243000.0000,243000.0000,243000.0000,243000.0000,243000.0000,243000.0000,243000.0000,196830.0000,194400.0000,194400.0000,,,,,,,,,,,,,,,,
Hydro Power,BARUN,PUBLISHED,BS,Share Premium,,90337.1390,43743.0650,43743.0650,43743.0650,43743.0650,43743.0650,43743.0650,43743.0650,43743.0650,43743.0650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Hydro Power,BARUN,PUBLISHED,BS,Reserves,,53509.5130,51007.1290,40575.5010,25370.0630,44659.2720,37841.1430,17659.3620,-30837.8030,-21258.1320,-4892.0160,64631.4350,68703.2870,71026.8280,17579.3400,8224.1120,26425.0910,25463.3650,14989.3920,5024.7320,8066.0260,11587.3470,17838.5130,16222.8150,11701.9030,32411.7300,25685.9132,25900.6460,25379.7790,27534.5875,23792.0689,12207.6460,17811.4496,23356.5311,19174.9395,13201.1240,-36307.7887,-39506.8005,-46575.6847,-52885.5325,-36714.1850,-31882.1843,-26707.0777,9398.2020,-4259.5107,2862.8714,-21616.1129,,,,,,,,,,,,,,,,
Hydro Power,BARUN,PUBLISHED,BS,Long Term Liabilities,,240389.0140,247334.0940,254791.7720,292500.0000,300000.0000,299834.0940,172642.4900,175395.9350,175395.9350,175417.1820,156838.4740,175531.8585,179236.1510,194076.5240,199311.8330,206832.8710,211112.3350,216509.4150,220286.8080,228525.3090,230308.3580,233990.7580,240455.7270,269600.7130,252678.9480,265347.0079,258263.5260,269866.8327,276462.0510,283289.4140,294803.7230,234720.4085,236007.0561,242514.5248,255369.8514,272837.1812,280208.2459,294230.9406,304942.4785,283461.9678,290600.9678,294660.9678,310073.6130,344966.8630,347332.7500,355343.3852,,,,,,,,,,,,,,,,
Hydro Power,BARUN,PUBLISHED,BS,Total Sources of Funds,,1455865.6660,1389870.9880,874925.3380,897428.1280,924217.3370,917233.3020,769859.9170,724116.1970,733695.8680,750083.2310,757284.9090,780050.1455,786077.9790,479563.3640,475443.4450,501165.4620,504483.2000,499406.3070,493219.0400,504498.8350,509803.2050,506979.2710,511828.5420,536452.6160,540240.6780,546182.9211,539314.1720,550396.6117,559146.6384,562231.4829,562161.3690,507681.8581,514513.5872,516839.4643,511570.9754,479529.3925,483701.4453,490655.2559,495056.9461,489747.7827,501718.7834,510953.8901,562471.8150,537537.3523,544595.6214,528127.2723,,,,,,,,,,,,,,,,
Hydro Power,BARUN,PUBLISHED,BS,Over Prior Period_Total Sources of Funds,,0.04748259267931420408927911229,0.5885595348937076960045703923,-0.02507475451003470218842973462,-0.02898583258236368703825775560,0.007614240547929865721338582624,0.1914288323702921138054262409,0.06317179506481885807064746544,-0.01305673292956312519399386886,-0.02184739282619691040659993104,-0.009509865988891639196787427333,-0.02918432440700057532391037802,-0.007668238598501688850897068572,0.6391535259144608052253132497,0.008665423918085567464285894193,-0.05132440072257014390987701383,-0.006576508395125942746953714217,0.01016585679603761992537270860,0.01254466372587724918324320975,-0.02235841634797828621348550785,-0.01040474039389375749412952396,0.005570117283947098499812233940,-0.009474405200325854434276547243,-0.04590167568499656640690144384,-0.007011804468378073522260758010,-0.01087958423898070144178296241,0.01273608122428497947945636407,-0.02013537050268145755011376644,-0.01564889440279607339583354634,-0.005486787193218560333310000773,0.0001247220173181270305324021651,0.1073103362485506944688674114,-0.01327803438035231735081378236,-0.004500192536864681523121066357,0.01029864701741638331422819028,0.06681880902639351768202613357,-0.008625264283451583889654340051,-0.01417249793288110581921109713,-0.008891280558077195313591823573,0.01084060732389712971333478995,-0.02385998112104965293192967589,-0.01807424677438618839473241149,-0.09159201141482973684645869767,0.04638647452741862232817341650,-0.01296056894812191745616557761,0.03118253868670739350492731598,,,,,,,,,,,,,,,,,
Hydro Power,BARUN,PUBLISHED,BS,Period on Period_Total Sources of Funds,,0.5752416750000871277747952482,0.5152862254013537768387742206,0.1364734267623911117326036861,0.2393427073141411861002744564,0.2596736295099320363079924010,0.2228420315131668368146734372,0.01660538570167123190355295988,-0.07170558049719638184465924185,-0.06663729604362826197424874053,0.5640961910509911261695128154,0.5927970339353400907651592504,0.5564722724248703315473084217,0.5581846511439825944649891215,-0.03973306448450599964088959734,-0.03603996106881843004276558342,-0.006607295733398472565352901162,-0.01043540909084712403877492296,-0.01493742334881380189605424716,-0.03635885940882132360645100562,-0.05956496444785721764473602642,-0.05634057974434868453204480837,-0.07177751003463224181727347681,-0.05096404179046865469724759986,-0.02533445047368920785091381041,-0.03381216858264492071745593097,-0.02854440259592229249031973766,-0.04064170585154527044706979857,0.08413685247658842824425125937,0.08674805157798561631454618270,0.08782614667685700563481525921,0.09889222812229155250859058022,0.05870852973835175285944541971,0.06370074391836844073205005162,0.05336579621871324582706869970,0.03335783778027066854238811780,-0.02086459716808841409380412495,-0.03591122895160875095114088966,-0.03972693934481505966324768373,-0.1198546613397864211204964999,-0.08890464894303494897800053773,-0.07873151438451870006166009913,-0.03251750686005995149968701967,,,,,,,,,,,,,,,,,,,,
Hydro Power,BARUN,PUBLISHED,BS,Fixed Assets,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Hydro Power,BARUN,PUBLISHED,BS,Depreciation,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Hydro Power,BARUN,PUBLISHED,BS,Net Fixed Assets,,518406.0040,526426.5040,530191.2160,525998.0240,532203.7820,479088.0500,484046.0490,321500.2300,413662.0260,412258.7310,416753.6320,425265.6750,426631.7670,434094.7150,439567.2110,444235.8750,448632.3770,450929.4090,455504.3270,457821.1080,462542.1080,467342.1080,472132.1090,476643.6980,480567.9020,485173.0886,475973.8180,476902.9496,482702.9496,488502.9496,494229.7650,497874.2680,502724.2680,507468.5130,512318.5118,567412.1870,572104.2983,572185.8787,599774.5239,499100.6561,514557.2470,514506.3720,541431.0740,546252.5155,555593.4831,555941.6970,,,,,,,,,,,,,,,,
