Sector,Company,Data Version,Statement Type,Particulars,2025/26 (2082/83) Q3,2025/26 (2082/83) Q2,2025/26 (2082/83) Q1,2024/25 (2081/82) Q4,2024/25 (2081/82) Q3,2024/25 (2081/82) Q2,2024/25 (2081/82) Q1,2023/24 (2080/81) Q4,2023/24 (2080/81) Q3,2023/24 (2080/81) Q2,2023/24 (2080/81) Q1,2022/23 (2079/80) Q4,2022/23 (2079/80) Q3,2022/23 (2079/80) Q2,2022/23 (2079/80) Q1,2021/22 (2078/79) Q4,2021/22 (2078/79) Q3,2021/22 (2078/79) Q2,2021/22 (2078/79) Q1,2020/21 (2077/78) Q4,2020/21 (2077/78) Q3,2020/21 (2077/78) Q2,2020/21 (2077/78) Q1,2019/20 (2076/77) Q4,2019/20 (2076/77) Q3,2019/20 (2076/77) Q2,2019/20 (2076/77) Q1,2018/19 (2075/76) Q4,2018/19 (2075/76) Q3,2018/19 (2075/76) Q2,2018/19 (2075/76) Q1,2017/18 (2074/75) Q4,2017/18 (2074/75) Q3,2017/18 (2074/75) Q2,2017/18 (2074/75) Q1,2016/17 (2073/74) Q4,2016/17 (2073/74) Q3,2016/17 (2073/74) Q2,2016/17 (2073/74) Q1,2015/16 (2072/73) Q4,2015/16 (2072/73) Q3,2015/16 (2072/73) Q2,2015/16 (2072/73) Q1,2014/15 (2071/72) Q4,2014/15 (2071/72) Q3,2014/15 (2071/72) Q2,2014/15 (2071/72) Q1,2013/14 (2070/71) Q4,2013/14 (2070/71) Q3,2013/14 (2070/71) Q2,2013/14 (2070/71) Q1,2012/13 (2069/70) Q4,2012/13 (2069/70) Q3,2012/13 (2069/70) Q2,2012/13 (2069/70) Q1,2011/12 (2068/69) Q4,2011/12 (2068/69) Q3,2011/12 (2068/69) Q2,2011/12 (2068/69) Q1,2010/11 (2067/68) Q4,2010/11 (2067/68) Q3,2010/11 (2067/68) Q2,2010/11 (2067/68) Q1
Hydro Power,RADHI,PUBLISHED,BS,Paid up Capital,,1838979.3170,1838979.3170,1838979.3170,1838979.3170,1755588.8460,1755588.8460,1755588.8460,1755588.8460,1675979.8060,1675979.8060,1675979.8060,1675979.8060,1675979.8060,646404.6230,646404.6230,646404.6230,646404.6230,646404.6230,646000.0000,473556.5000,473556.5000,473556.5000,473556.5000,473556.5000,473556.5000,473556.5000,473556.5000,451004.0000,451004.0000,451004.0000,451004.0000,410000.0000,337367.8000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro Power,RADHI,PUBLISHED,BS,Share Premium,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro Power,RADHI,PUBLISHED,BS,Reserves,,1306133.6190,975138.4060,669363.8870,323758.6800,408083.5930,409564.5840,347799.7470,353063.3880,413694.6700,356367.0450,344319.7580,336878.5255,292628.5617,182630.3299,133652.0363,117564.3119,103003.1144,88194.5133,70493.5197,245560.3276,230774.6178,209045.4574,184290.9336,167376.3230,153257.9309,133817.7567,104094.1803,143951.1253,127349.6259,112850.1796,94087.7310,130043.6318,121094.5862,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro Power,RADHI,PUBLISHED,BS,Long Term Liabilities,,418162.6560,396724.0850,333208.1730,344619.4120,35087.4020,48105.4890,51012.3680,63586.8250,74612.2480,87242.2860,100643.5010,117399.5120,148444.2464,153605.7527,158429.7470,167112.4327,179988.0675,192571.7401,205000.0000,215608.4503,225561.2987,234684.6227,244147.0344,254239.1566,262872.7789,273177.1179,281658.8165,292602.7982,296999.9253,306999.9251,316999.9251,324499.9246,331999.9246,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro Power,RADHI,PUBLISHED,BS,Total Sources of Funds,,3563275.5920,3210841.8080,2841551.3770,2507357.4090,2198759.8410,2213258.9190,2154400.9610,2172239.0590,2164286.7240,2119589.1370,2120943.0650,2130257.8440,2117052.6140,982640.7055,938486.4063,931081.3676,929395.8049,927170.8764,922000.0000,934725.2779,929892.4165,917286.5801,901994.4680,895171.9796,889687.2098,880551.3746,859309.4968,887557.9234,875353.5512,870854.1047,862091.6561,864543.5564,790462.3107,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro Power,RADHI,PUBLISHED,BS,Over Prior Period_Total Sources of Funds,,0.1097636710478512618146399818,0.1299608495517974933310523071,0.1332853333156382094388522813,0.1403507387417305480976355525,-0.006551008504034859375619215566,0.02731987177200298324597711688,-0.008211848473165678400592648583,0.003674344490411428499803522336,0.02108785434863266144395228612,-0.0006383613131076670367858271575,-0.004372606361354630458527723651,0.006237553999685338004547108530,1.154452387480502149826725248,0.04704841636873478068192664455,0.007953159581624517947232520691,0.001813611263482474107302698026,0.002399696276741248168049123162,0.005608325813449023861171366594,-0.01361392293636183474823731415,0.005197226382585517084921834073,0.01374252787893806013395093384,0.01695366506394138993765979505,0.007621427564174395880520923312,0.006164829323817036624324865056,0.01037513024626195387918709633,0.02471970562306486544581151428,-0.03182713584685012795639248529,0.01394222046996820363159337806,0.005166705279008831891195655060,0.01016417284403409504243779677,-0.002836063356032434134049605184,0.09371888412288345678870075443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro Power,RADHI,PUBLISHED,BS,Period on Period_Total Sources of Funds,,0.6205842609802331749973052196,0.4507303146668128257975405904,0.3189519631856495444628610152,0.1542732364614939004280191428,0.01592816544024598470900198527,0.04419242407166573433896590120,0.01577500902882558047356165122,0.01970710499587767273115131879,0.02231125938375001576602290339,1.157033720602367209791921245,1.259961413145937007910393640,1.287939505750238364022439922,1.277880535761389684318769836,0.05982697527706770837911103309,0.01788113481561822125813449024,-0.003898375689792608314353579332,-0.0005340527475954526186847336226,0.01077558149703055925041108099,0.02217921806589173005881450705,0.04418513894690275669571460746,0.04519027165630272950789136994,0.04171841253065712947443055414,0.04967357088331436674051197336,0.008578658360496137056963148959,0.01637470777419061209150435900,0.01113535533410686121785239603,-0.003227219844101214703776089592,0.02662025161095746962645455442,0.1073944188747264961787886543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro Power,RADHI,PUBLISHED,BS,Fixed Assets,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,622817.3681,622115.7060,621373.6942,616475.5168,616375.0407,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro Power,RADHI,PUBLISHED,BS,Depreciation,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,95519.1031,91869.7773,86121.0131,81281.2244,75753.2443,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro Power,RADHI,PUBLISHED,BS,Net Fixed Assets,,431063.8870,435209.4510,441728.9230,487476.9700,491261.3480,476952.9480,478223.1730,430258.4770,435149.0210,436010.3850,440896.1870,445793.8430,450643.2936,455482.5534,460522.2536,465384.8636,470287.7057,475192.2452,480093.3901,484891.6995,489651.4229,494696.3178,499614.5764,504380.2445,508040.5484,512430.7457,517405.0389,522484.9648,527298.2651,530245.9287,535252.6811,535194.2925,540621.7964,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
