Sector,Company,Data Version,Statement Type,Particulars,2025/26 (2082/83) Q3,2025/26 (2082/83) Q2,2025/26 (2082/83) Q1,2024/25 (2081/82) Q4,2024/25 (2081/82) Q3,2024/25 (2081/82) Q2,2024/25 (2081/82) Q1,2023/24 (2080/81) Q4,2023/24 (2080/81) Q3,2023/24 (2080/81) Q2,2023/24 (2080/81) Q1,2022/23 (2079/80) Q4,2022/23 (2079/80) Q3,2022/23 (2079/80) Q2,2022/23 (2079/80) Q1,2021/22 (2078/79) Q4,2021/22 (2078/79) Q3,2021/22 (2078/79) Q2,2021/22 (2078/79) Q1,2020/21 (2077/78) Q4,2020/21 (2077/78) Q3,2020/21 (2077/78) Q2,2020/21 (2077/78) Q1,2019/20 (2076/77) Q4,2019/20 (2076/77) Q3,2019/20 (2076/77) Q2,2019/20 (2076/77) Q1,2018/19 (2075/76) Q4,2018/19 (2075/76) Q3,2018/19 (2075/76) Q2,2018/19 (2075/76) Q1,2017/18 (2074/75) Q4,2017/18 (2074/75) Q3,2017/18 (2074/75) Q2,2017/18 (2074/75) Q1,2016/17 (2073/74) Q4,2016/17 (2073/74) Q3,2016/17 (2073/74) Q2,2016/17 (2073/74) Q1,2015/16 (2072/73) Q4,2015/16 (2072/73) Q3,2015/16 (2072/73) Q2,2015/16 (2072/73) Q1,2014/15 (2071/72) Q4,2014/15 (2071/72) Q3,2014/15 (2071/72) Q2,2014/15 (2071/72) Q1,2013/14 (2070/71) Q4,2013/14 (2070/71) Q3,2013/14 (2070/71) Q2,2013/14 (2070/71) Q1,2012/13 (2069/70) Q4,2012/13 (2069/70) Q3,2012/13 (2069/70) Q2,2012/13 (2069/70) Q1,2011/12 (2068/69) Q4,2011/12 (2068/69) Q3,2011/12 (2068/69) Q2,2011/12 (2068/69) Q1,2010/11 (2067/68) Q4,2010/11 (2067/68) Q3,2010/11 (2067/68) Q2,2010/11 (2067/68) Q1
Hydro Power,CHCL,PUBLISHED,IS,Over Prior Period_Gross Profit,,0.820415296,-0.686585154,0.349146737,0.279027126,0.811487825,-0.671143921,0.425314473,0.243471957,0.746789171,-0.689340269,0.387317959,0.295798589,0.798181509,-0.711577427,0.441125897,0.303480877,0.8190582,-0.695814409,0.392754282,0.250063219,0.806861403,-0.693147371,0.406728394,0.329035403,0.69523712,-0.694295883,0.427372674,0.252321029,0.658555152,-0.682780785,0.427785851,0.251046982,0.690933442,-0.683721464,0.401810596,0.238788933,0.784954831,-0.666839681,0.38117969,0.261564083,0.706402313,-0.632041269,0.269010122,0.359284282,0.791410902,-0.654970731,0.38639937,0.255114777,0.758001818,-0.670666326,0.432197067,0.254197203,0.718437627,-0.643274986,0.41030351,0.275344462,0.692955052,-0.676860098,0.43942371,0.248536521,0.713265233,
Hydro Power,CHCL,PUBLISHED,IS,Period on Period_Gross Profit,,-0.015469936,-0.020298155,0.027969517,0.086004799,0.055815382,0.018106139,-0.038227969,-0.063867212,-0.024473742,0.004227246,-0.067655776,-0.03149426,-0.025752365,-0.014441456,0.039421793,0.004533439,-0.036633121,-0.043092502,-0.034702527,-0.025017276,0.036576821,-0.027460821,-0.031100919,-0.016881953,-0.073629338,-0.09367438,-0.059535394,-0.05926316,-0.060220218,-0.04187385,-0.04471507,-0.062094266,-0.071284084,-0.019644464,0.032683302,0.017484963,0.036191437,-0.009409407,0.094057236,0.005205707,0.0830685,0.137024197,0.066170184,0.164795808,0.075531035,0.055472818,0.007458705,0.040738645,0.039977795,0.016572882,0.10112328,0.084290746,0.102573181,0.086223211,-0.016043035,0.004273884,-0.016836111,-0.005041211,,,,
Hydro Power,CHCL,PUBLISHED,IS,Income from Dividend,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydro Power,CHCL,PUBLISHED,IS,Forex Gain,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydro Power,CHCL,PUBLISHED,IS,Income from Other Sources,,3438.72,1176.75,34365.34,28519.53,3.5,0,5839.92,363.81,114.34,0,8599.07,212.25,49.35,27.82,4600.28,486.67,14,0,9164.47,4236.67,362.69,0,6048,850,345,107,2765.32,469.37,176,0,3564,1041.72,845.75,0,4214,765,268,0,5460,3639,3628,30,2206.13,599,465,90,1840.93,350,225,29,2672.79,968.61,707.17,660.72,147.37,19.37,19.37,9.37,220.73,103,0,0
Hydro Power,CHCL,PUBLISHED,IS,Administrative Expenses,,32550.34,20903.62,60839.56,43413.26,29545.96,18148,56691.56,45976.03,30247.4,17716.48,88182.62,64092.02,38260.71,22907.46,62172.96,49243.54,33750.59,19610.47,74966.6,45420.99,30326.66,18926,53337,43729,28169,19970,45104.91,29541.57,17824,10719,46277,26825.19,15742.89,9251.59,43201,25238,27918,11204,55573,24167,16541,11091,79202.09,59860,18820,11325,62561.77,22442,14734,9097,64626.24,28381.04,21767.69,9842.09,58237.64,28164.74,20541.79,14372.8,50573.12,36731.26,22193.48,10404.95
Hydro Power,CHCL,PUBLISHED,IS,Operating Profit,,460727.53,249354.12,832071.55,621468.31,467993.54,256508,784334.38,540353.92,441100.84,252055,788798.97,562063.63,444844.73,245756.25,873824.22,597541.21,462088.16,252961.76,830270,602197.03,484715.08,265921,880997,617011,468694,273027,915743.68,642149.33,518334,312443,976021,687722.69,555430.09,328033.85,1027432,736271,586453,332840,982555,727143,579741,336251,866892.5,684538,528844,294222,824586.66,616474,494262,280335,816799.69,586157.56,468152.81,275503.58,739961.28,537726.83,423179.04,247723.54,760711.08,526835.76,429106.11,253009.95
Hydro Power,CHCL,PUBLISHED,IS,Over Prior Period_Operating Profit,,0.847683648,-0.7003213,0.338880095,0.327942069,0.824479314,-0.672960912,0.451519737,0.225012222,0.75001821,-0.68045724,0.403397993,0.263505201,0.81010546,-0.718757795,0.462366453,0.293132484,0.826711516,-0.695325906,0.378734797,0.24237321,0.822778494,-0.698159018,0.427846505,0.316447405,0.716658059,-0.70185216,0.426060322,0.238871712,0.658971396,-0.679880863,0.41920721,0.23818047,0.693209679,-0.680724515,0.395453576,0.255464632,0.761966711,-0.661250515,0.351254155,0.254254917,0.724131675,-0.61211915,0.266390617,0.294404399,0.797431871,-0.643188504,0.337585462,0.247261574,0.763111991,-0.656788557,0.393481456,0.252064598,0.699262166,-0.627678383,0.376091425,0.270683988,0.708271406,-0.67435266,0.443924535,0.227751709,0.69600488,
Hydro Power,CHCL,PUBLISHED,IS,Period on Period_Operating Profit,,-0.015525877,-0.027889501,0.060863289,0.150113448,0.060967238,0.017666779,-0.005659985,-0.038625004,-0.008416173,0.02563007,-0.097302464,-0.059372608,-0.037316321,-0.028484582,0.052457899,-0.00773139,-0.046680867,-0.048733421,-0.057579084,-0.024009248,0.034182388,-0.02602673,-0.037943674,-0.039147172,-0.095768366,-0.126154211,-0.06175822,-0.066267059,-0.066788045,-0.047528174,-0.050038348,-0.065938099,-0.052899226,-0.014439821,0.045673779,0.012553239,0.011577584,-0.010144208,0.133421964,0.062239058,0.096241992,0.142847918,0.051305511,0.110408549,0.069966941,0.049537161,0.009533512,0.051720633,0.055770657,0.017536687,0.103841123,0.090065675,0.106275987,0.112141301,-0.027276847,0.02067261,-0.013812598,-0.020894079,,,,
Hydro Power,CHCL,PUBLISHED,IS,Net Interest Income,,55891.02,31964.89,134023.26,90004.15,62457.11,20343,161187.551,123626.46,82035.24,33374.25,228001.81,175807.07,98471.11,39181.5,195484.34,130156.65,91299.21,33832.51,162329.76,108250.26,52011.58,37663,152532,115173,73567,21917,120259.57,86183.64,55514,16042,68230,47641.92,24871.92,6405.76,39350,27325,16991,2371,71785,56146,40866,8106,103580.13,79500,56883,28602,223248.65,178984,126557,60814,254042.25,184051.17,124707.6,59970.3,299295.78,200304.58,127898.12,65704.28,190520.74,126271.93,62859.81,15436.85
