,open,high,low,close,adj_close,volume,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,log_return_1d,overnight_gap,intraday_range,close_open_return,ma_5,std_5,min_5,max_5,price_rel_ma_5,vol_ma_5,vol_std_5,return_skew_5,return_kurt_5,ma_10,std_10,min_10,max_10,price_rel_ma_10,vol_ma_10,vol_std_10,return_skew_10,return_kurt_10,ma_20,std_20,min_20,max_20,price_rel_ma_20,vol_ma_20,vol_std_20,return_skew_20,return_kurt_20,ma_50,std_50,min_50,max_50,price_rel_ma_50,vol_ma_50,vol_std_50,return_skew_50,return_kurt_50,macd,macd_signal,macd_diff,rsi_14,bb_upper,bb_lower,bb_pct,bb_width,log_volume,vol_change_1d,vol_surge_20,vol_price_ratio,day_of_week,month,quarter,is_month_end,is_month_start,is_quarter_end,nepali_fiscal_year,close_open_ratio,high_close_ratio,low_close_ratio,adj_factor,close_lag_1,vol_lag_1,close_lag_2,vol_lag_2,close_lag_3,vol_lag_3,close_lag_5,vol_lag_5,target_return_5d,target_log_return_5d,target_direction_5d
2007-01-02,775.0,775.0,750.0,750.0,,7590.0,,,,,,,,,0.03333333333333333,-0.03225806451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,8.934718614016768,,,10.12,1,1,1,0,0,0,2007,0.967741935483871,1.0333333333333334,1.0,,,,,,,,,,0.088,0.08434114843375096,1
2007-01-03,750.0,750.0,731.0,735.0,,12390.0,,,,,,,,0.0,0.02585034013605442,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3365384615383391,-0.18696581196574394,-0.14957264957259517,,,,,,9.424725681616493,0.6324110671936758,,16.857142857142858,2,1,1,0,0,0,2007,0.98,1.0204081632653061,0.9945578231292517,,750.0,7590.0,,,,,,,0.05442176870748299,0.05299253014051038,1
2007-01-04,735.0,760.0,745.0,745.0,,6940.0,,,,,,,,0.0,0.020134228187919462,0.013605442176870748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11871739682226234,-0.1589951500216941,0.04027775319943175,,,,,,8.845201135339584,-0.4398708635996772,,9.315436241610739,3,1,1,0,0,0,2007,1.0136054421768708,1.0201342281879195,1.0,,735.0,12390.0,750.0,7590.0,,,,,0.0738255033557047,0.07122750928836778,1
2007-01-05,735.0,760.0,745.0,745.0,,6940.0,,,,,,,,-0.013422818791946308,0.020134228187919462,0.013605442176870748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.016738644511292478,-0.11080527688131415,0.09406663237002168,,,,,,8.845201135339584,0.0,,9.315436241610739,4,1,1,0,0,0,2007,1.0136054421768708,1.0201342281879195,1.0,,745.0,6940.0,735.0,12390.0,750.0,7590.0,,,0.0738255033557047,0.07122750928836778,1
2007-01-08,790.0,820.0,800.0,817.0,,10610.0,,,,,,,,0.06040268456375839,0.02447980416156671,0.03417721518987342,758.4,33.208432664008704,735.0,817.0,0.07726793248945141,8894.0,2475.041413794929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.904073177287728,0.7860529020123798,2.1180202752753483,,,,,,9.269646477873591,0.5288184438040346,,12.986536107711139,0,1,1,0,0,0,2007,1.0341772151898734,1.003671970624235,0.9791921664626683,,745.0,6940.0,745.0,6940.0,735.0,12390.0,,,-0.0208078335373317,-0.021027367192075617,0
2007-01-09,817.0,816.0,816.0,816.0,,6250.0,,,,,,,,0.0,0.0,-0.0012239902080783353,771.6,41.192232277457364,735.0,817.0,0.05754276827371685,8626.0,2712.6794871491916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.562529684602964,1.8096880781417557,2.7528416064612085,,,,,,8.740496729931813,-0.41093308199811496,,7.659313725490196,1,1,1,0,0,0,2007,0.9987760097919217,1.0,1.0,,817.0,10610.0,745.0,6940.0,745.0,6940.0,750.0,7590.0,-0.031862745098039214,-0.03238140950303983,0
2007-01-10,816.0,804.0,771.0,775.0,,2560.0,,,,,,,,0.0,0.04258064516129032,-0.05024509803921569,779.6,35.84410690755176,745.0,817.0,-0.005900461775269372,6660.0,2860.830299056552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.690156923299355,2.2855845765073064,1.4045723467920488,,,,,,7.848153086199526,-0.5904,,3.303225806451613,2,1,1,0,0,0,2007,0.9497549019607843,1.0374193548387096,0.9948387096774194,,816.0,6250.0,817.0,10610.0,745.0,6940.0,735.0,12390.0,0.0064516129032258064,0.006430890330290331,1
2007-01-11,775.0,816.0,780.0,800.0,,9130.0,,,,,,,,0.0,0.045,0.03225806451612903,790.6,30.631682944298046,745.0,817.0,0.011889704022261638,7098.0,3074.112880165593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.234866600235478,2.7540337030657667,1.480832897169711,,,,,,9.11943049661634,2.56640625,,11.4125,3,1,1,0,0,0,2007,1.032258064516129,1.02,0.975,,775.0,2560.0,816.0,6250.0,817.0,10610.0,745.0,6940.0,-0.0125,-0.012578782206860073,0
2007-01-12,775.0,816.0,780.0,800.0,,9130.0,,,,,,,,-0.03125,0.045,0.03225806451612903,801.6,17.008821240756205,775.0,817.0,-0.001996007984031989,7536.0,3199.4343250018433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.547632506923605,3.1683639248464774,1.379268582077128,,,,,,9.11943049661634,0.0,,11.4125,4,1,1,0,0,0,2007,1.032258064516129,1.02,0.975,,800.0,9130.0,775.0,2560.0,816.0,6250.0,745.0,6940.0,-0.0125,-0.012578782206860073,0
2007-01-15,775.0,816.0,780.0,800.0,,9130.0,,,,,,,,-0.03125,0.045,0.03225806451612903,798.2,14.703741020570225,775.0,816.0,0.002255073916311634,7240.0,2898.2235938588315,,,778.3,32.03487682719153,735.0,817.0,0.02788127971219323,8067.0,2686.207777187428,,,,,,,,,,,,,,,,,,,,,4.703337358574231,3.5122870790870375,1.1910502794871936,,,,,,9.11943049661634,0.0,,11.4125,0,1,1,0,0,0,2007,1.032258064516129,1.02,0.975,,800.0,9130.0,800.0,9130.0,775.0,2560.0,817.0,10610.0,-0.0125,-0.012578782206860073,0
2007-01-16,787.5,798.0,775.0,790.0,,0.0,,,,,,,,-0.015625,0.02911392405063291,0.0031746031746031746,793.0,10.954451150103312,775.0,800.0,-0.003783102143757877,5990.0,4393.853661650556,,,782.3,30.572500352077466,735.0,817.0,0.009842771315352161,7308.0,3712.285309916551,,,,,,,,,,,,,,,,,,,,,4.2171359969014475,3.666503994843171,0.5506320020582764,,,,,,0.0,-1.0,,0.0,1,1,1,0,0,0,2007,1.0031746031746032,1.010126582278481,0.9810126582278481,,800.0,9130.0,800.0,9130.0,800.0,9130.0,816.0,6250.0,-0.0008438818565400364,-0.0008442381252805361,0
2007-01-17,800.0,780.0,770.0,780.0,,1610.0,,,,,,,,0.012658227848101266,0.01282051282051282,-0.025,794.0,8.944271909999147,780.0,800.0,-0.017632241813602012,5800.0,4595.182259715059,,,786.8,25.771646780479045,745.0,817.0,-0.008642602948652711,6230.0,3636.9889866328836,,,,,,,,,,,,,,,,,,,,,3.2539946102842805,3.5779142790155256,-0.3239196687312451,,,,,,7.384610383176974,inf,,2.0641025641025643,2,1,1,0,0,0,2007,0.975,1.0,0.9871794871794872,,790.0,0.0,800.0,9130.0,800.0,9130.0,775.0,2560.0,0.011111111111111063,0.011049836186584935,1
2007-01-18,780.0,800.0,790.0,790.0,,2270.0,,,,,,,,0.0,0.012658227848101266,0.01282051282051282,792.0,8.366600265340743,780.0,800.0,-0.002525252525252486,4428.0,4371.0090368243345,,,791.3,21.1820154323845,745.0,817.0,-0.0016428661695943036,5763.0,3830.3729148304433,,,,,,,,,,,,,,,,,,,,,3.0614189960749627,3.4686059325286487,-0.407186936453686,,,,,,7.7279755421055585,0.40993788819875787,,2.8734177215189876,3,1,1,0,0,0,2007,1.0128205128205128,1.0126582278481013,1.0,,780.0,1610.0,790.0,0.0,800.0,9130.0,800.0,9130.0,-0.002531645569620253,-0.0025348556031880663,0
2007-01-19,780.0,800.0,790.0,790.0,,2270.0,,,,,,,,-0.012658227848101266,0.012658227848101266,0.01282051282051282,790.0,7.07106781186546,780.0,800.0,0.0,3056.0,3519.911930716449,,,795.8,13.717790557439423,775.0,817.0,-0.007288263382759452,5296.0,3953.6289940031324,,,,,,,,,,,,,,,,,,,,,2.877512140393833,3.344948670189659,-0.46743652979582606,,,,,,7.7279755421055585,0.0,,2.8734177215189876,4,1,1,0,0,0,2007,1.0128205128205128,1.0126582278481013,1.0,,790.0,2270.0,780.0,1610.0,790.0,0.0,800.0,9130.0,-0.002531645569620253,-0.0025348556031880663,0
2007-01-22,780.0,800.0,790.0,790.0,,2270.0,,,,,,,,-0.012658227848101266,0.012658227848101266,0.01282051282051282,788.0,4.472135954999556,780.0,790.0,0.002538071065989911,1684.0,983.8089245376868,,,793.1,11.570556502509929,775.0,816.0,-0.003908712646576773,4462.0,3569.051539119166,,,,,,,,,,,,,,,,,,,,,2.7021044062663577,3.211691238339169,-0.5095868320728112,60.30927835051547,,,,,7.7279755421055585,0.0,,2.8734177215189876,0,1,1,0,0,0,2007,1.0128205128205128,1.0126582278481013,1.0,,790.0,2270.0,790.0,2270.0,780.0,1610.0,800.0,9130.0,-0.056962025316455694,-0.05864872708150763,0
2007-01-23,783.3333333333334,796.6666666666666,789.3333333333334,789.3333333333334,,0.0,,,,,,,,-0.008438818565400796,0.009290540540540444,0.007659574468085106,787.8666666666667,4.407065034943555,780.0,790.0,0.0018615671010324686,1684.0,983.8089245376868,,,790.4333333333333,8.323772292968066,775.0,800.0,-0.0013916417155145355,3837.0,3763.1164685079248,,,,,,,,,,,,,,,,,,,,,2.494610475437753,3.064121363037513,-0.5695108875997601,65.12059369202228,,,,,0.0,-1.0,,0.0,1,1,1,0,0,0,2007,1.0076595744680852,1.0092905405405403,1.0,,790.0,2270.0,790.0,2270.0,790.0,2270.0,790.0,0.0,-0.056165540540540584,-0.057804488956227126,0
2007-01-24,786.6666666666666,793.3333333333334,788.6666666666666,788.6666666666666,,0.0,,,,,,,,-0.0033783783783784744,0.005917159763313706,0.0025423728813559325,789.6,0.5962847939997402,788.6666666666666,790.0,-0.0011820330969267712,1362.0,1243.3302055367271,,,791.8,6.4102541310535255,780.0,800.0,-0.003957228256293632,3581.0,3942.4455185413362,,,,,,,,,,,,,,,,,,,,,2.264153147434172,2.9004419880559693,-0.6362888406217975,62.81800391389431,,,,,0.0,,,0.0,2,1,1,0,0,0,2007,1.0025423728813558,1.0059171597633136,1.0,,789.3333333333334,0.0,790.0,2270.0,790.0,2270.0,780.0,1610.0,-0.05409974640743867,-0.055618155666461465,0
2007-01-25,790.0,790.0,788.0,788.0,,400.0,,,,,,,,0.0016906170752325079,0.0025380710659898475,-0.002531645569620253,789.2,0.869226987360225,788.0,790.0,-0.001520527116066983,988.0,1181.6386926637092,,,790.6,5.798680139309481,780.0,800.0,-0.003288641538072401,2708.0,3521.2365252375002,,,,,,,,,,,,,,,,,,,,,2.017831613144608,2.7206816385006034,-0.7028500253559953,62.57309941520468,,,,,5.993961427306569,inf,,0.5076142131979695,3,1,1,0,0,0,2007,0.9974683544303797,1.00253807106599,1.0,,788.6666666666666,0.0,789.3333333333334,0.0,790.0,2270.0,790.0,2270.0,-0.046954314720812185,-0.048092438093744326,0
2007-01-26,790.0,790.0,788.0,788.0,,400.0,,,,,,,,0.0025380710659898475,0.0025380710659898475,-0.002531645569620253,788.8,0.869226987360225,788.0,790.0,-0.001014198782961384,614.0,947.0902808074845,,,789.4,4.791453296376327,780.0,800.0,-0.0017734988598935297,1835.0,2749.8575720692634,,,,,,,,,,,,,,,,,,,,,1.8039878640220195,2.5346620589354036,-0.7306741949133841,35.35353535353535,,,,,5.993961427306569,0.0,,0.5076142131979695,4,1,1,0,0,0,2007,0.9974683544303797,1.00253807106599,1.0,,788.0,400.0,788.6666666666666,0.0,789.3333333333334,0.0,790.0,2270.0,-0.046954314720812185,-0.048092438093744326,0
2007-01-29,756.0,750.0,745.0,745.0,,2860.0,,,,,,,,-0.04060913705583756,0.006711409395973154,-0.01455026455026455,779.8,19.46164318744835,745.0,789.3333333333334,-0.04462682739163881,732.0,1206.2835487562616,,,783.9,13.996516321420827,745.0,790.0,-0.04962367648934807,1208.0,1152.6664738769825,,,781.1,24.231365300524974,735.0,817.0,-0.04621687363973881,4637.5,4053.1246880452745,,,,,,,,,,,,-1.1855279478689909,1.7819458303059905,-2.9674737781749814,24.822695035460995,829.56273060105,732.63726939895,0.1275488447279333,0.12408841531442837,7.95892649305011,6.15,0.6167115902964959,3.838926174496644,0,1,1,0,0,0,2007,0.9854497354497355,1.0067114093959733,1.0,,788.0,400.0,788.0,400.0,788.6666666666666,0.0,790.0,2270.0,0.0738255033557047,0.07122750928836778,1
2007-01-30,756.0,750.0,745.0,745.0,,2860.0,,,,,,,,0.01476510067114094,0.006711409395973154,-0.01455026455026455,770.9333333333333,23.675350519521782,745.0,788.6666666666666,-0.03363887928052567,1304.0,1429.78320034892,,,779.4,18.368518425169714,745.0,790.0,-0.044136515268154985,1494.0,1174.243964808372,,,780.85,24.592224083643135,735.0,817.0,-0.045911506691426074,4401.0,4009.542433534753,,,,,,,,,,,,-3.481100230870652,0.7195376320027065,-4.200637862873359,35.0,830.0344481672863,731.6655518327137,0.1355555329393257,0.12597668737218745,7.95892649305011,0.0,0.6498523062940241,3.838926174496644,1,1,1,0,0,0,2007,0.9854497354497355,1.0067114093959733,1.0,,745.0,2860.0,788.0,400.0,788.0,400.0,789.3333333333334,0.0,0.06040268456375839,0.05864872708150769,1
2007-01-31,745.0,746.0,740.0,746.0,,2910.0,,,,,,,,0.0,0.00804289544235925,0.0013422818791946308,762.4,23.373061416938903,745.0,788.0,-0.021511017838405033,1886.0,1356.6797706164857,,,776.0,21.17708988039823,745.0,790.0,-0.03865979381443296,1624.0,1257.521371587774,,,781.4,23.616477546321487,745.0,817.0,-0.0453033017660609,3927.0,3549.3336661525937,,,,,,,,,,,,-5.149801893698509,-0.46305627600318144,-4.686745617695328,14.473684210526315,828.632955092643,734.167044907357,0.12526164273899232,0.12089315355168419,7.976251943745623,0.0174825174825175,0.7410236822001528,3.900804289544236,2,1,1,1,0,0,2007,1.0013422818791946,1.0,0.9919571045576407,,745.0,2860.0,745.0,2860.0,788.0,400.0,788.6666666666666,0.0,0.06970509383378017,0.06738299724604796,1
2007-02-01,746.0,751.0,751.0,751.0,,400.0,,,,,,,,0.0,0.0,0.006702412868632708,755.0,18.61451046898623,745.0,788.0,-0.005298013245033095,1886.0,1356.6797706164857,,,772.1,21.891455010326084,745.0,790.0,-0.02732806631265383,1437.0,1289.4189044337404,,,781.7,23.163517392911128,745.0,817.0,-0.03927337853396451,3600.0,3558.3896416926104,,,,,,,,,,,,-6.043217392164024,-1.5857155096562088,-4.457501882507815,19.75308641975309,828.0270347858223,735.3729652141778,0.16865999365239553,0.11852893638434746,5.993961427306569,-0.8625429553264605,0.1111111111111111,0.5326231691078562,3,2,1,0,1,0,2007,1.0067024128686326,1.0,1.0,,746.0,2910.0,745.0,2860.0,745.0,2860.0,788.0,400.0,0.07190412782956059,0.06943662565442872,1
