,open,high,low,close,adj_close,volume,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,log_return_1d,overnight_gap,intraday_range,close_open_return,ma_5,std_5,min_5,max_5,price_rel_ma_5,vol_ma_5,vol_std_5,return_skew_5,return_kurt_5,ma_10,std_10,min_10,max_10,price_rel_ma_10,vol_ma_10,vol_std_10,return_skew_10,return_kurt_10,ma_20,std_20,min_20,max_20,price_rel_ma_20,vol_ma_20,vol_std_20,return_skew_20,return_kurt_20,ma_50,std_50,min_50,max_50,price_rel_ma_50,vol_ma_50,vol_std_50,return_skew_50,return_kurt_50,macd,macd_signal,macd_diff,rsi_14,bb_upper,bb_lower,bb_pct,bb_width,log_volume,vol_change_1d,vol_surge_20,vol_price_ratio,day_of_week,month,quarter,is_month_end,is_month_start,is_quarter_end,nepali_fiscal_year,close_open_ratio,high_close_ratio,low_close_ratio,adj_factor,close_lag_1,vol_lag_1,close_lag_2,vol_lag_2,close_lag_3,vol_lag_3,close_lag_5,vol_lag_5,target_return_5d,target_log_return_5d,target_direction_5d
2015-10-14,284.0,284.0,284.0,284.0,132.82,10.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,2.3978952727983707,,,0.035211267605633804,2,10,4,0,0,0,2016,1.0,1.0,1.0,0.46767605633802817,,,,,,,,,0.13380281690140844,0.1255773073832023,1
2015-10-15,289.0,304.0,289.0,304.0,137.14,40.0,0.02535937183245751,,,,,,0.0253852618674587,0.017605633802816902,0.049342105263157895,0.05190311418685121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44871794871789916,0.24928774928772174,0.19943019943017742,,,,,,3.713572066704308,3.0,,0.13157894736842105,3,10,4,0,0,0,2016,1.0519031141868511,1.0,0.9506578947368421,0.45111842105263156,284.0,10.0,,,,,,,0.11348684210526316,0.1074963909461079,1
2015-10-16,289.0,304.0,289.0,304.0,137.14,40.0,0.0,0.03252522210510467,,,,,0.0,-0.049342105263157895,0.049342105263157895,0.05190311418685121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5717557312729582,0.38144675829806446,0.19030897297489374,,,,,,3.713572066704308,0.0,,0.13157894736842105,4,10,4,0,0,0,2016,1.0519031141868511,1.0,0.9506578947368421,0.45111842105263156,304.0,40.0,284.0,10.0,,,,,0.16776315789473684,0.1550900880691942,1
2015-10-19,310.0,322.0,310.0,322.0,141.02,30.0,0.02535937183245751,0.0282922560886687,0.06173769010691177,,,,0.0253852618674587,0.019736842105263157,0.037267080745341616,0.03870967741935484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.263586589559452,0.6802746144164207,0.5833119751430313,,,,,,3.4339872044851463,-0.25,,0.09316770186335403,0,10,4,0,0,0,2016,1.038709677419355,1.0,0.9627329192546584,0.43795031055900624,304.0,40.0,304.0,40.0,284.0,10.0,,,0.15372670807453417,0.14299731861340553,1
2015-10-20,310.0,322.0,310.0,322.0,141.02,30.0,0.0,0.0282922560886687,0.0282922560886687,,,,0.0,-0.037267080745341616,0.037267080745341616,0.03870967741935484,307.2,15.7860698085369,284.0,322.0,0.04817708333333348,30.0,12.24744871391589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6129154514226798,0.9577141780189489,0.6552012734037309,,,,,,3.4339872044851463,0.0,,0.09316770186335403,1,10,4,0,0,0,2016,1.038709677419355,1.0,0.9627329192546584,0.43795031055900624,322.0,30.0,304.0,40.0,304.0,40.0,,,0.20496894409937888,0.18645379407886517,1
2015-10-21,310.0,322.0,310.0,322.0,141.02,30.0,0.0,0.0,0.0282922560886687,0.06173769010691177,,,0.0,-0.037267080745341616,0.037267080745341616,0.03870967741935484,314.8,9.859006035093001,304.0,322.0,0.02287166454891998,34.0,5.477225575051661,0.643922574424812,-3.1272537780618834,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7925920236760362,1.1840124925022864,0.6085795311737499,,,,,,3.4339872044851463,0.0,,0.09316770186335403,2,10,4,0,0,0,2016,1.038709677419355,1.0,0.9627329192546584,0.43795031055900624,322.0,30.0,322.0,30.0,304.0,40.0,284.0,10.0,0.30124223602484473,0.26331937437772945,1
2015-10-22,322.5,338.5,322.5,338.5,144.58,0.0,0.025244646149482408,0.025244646149482408,0.025244646149482408,0.054251130231879996,,,0.024931263281256617,0.0015527950310559005,0.047267355982274745,0.04961240310077519,321.7,12.204507364084805,304.0,338.5,0.05222256760957422,26.0,15.165750888103101,0.6323982053507702,-3.194364126815467,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6244213908718166,1.5485415580668853,1.0758798328049313,,,,,,0.0,-1.0,,0.0,3,10,4,0,0,0,2016,1.0496124031007752,1.0,0.9527326440177253,0.42711964549483017,322.0,30.0,322.0,30.0,322.0,30.0,304.0,40.0,0.2171344165435746,0.19649925699719678,1
2015-10-23,335.0,355.0,335.0,355.0,148.14,0.0,0.024623046064462306,0.050489292298964594,0.050489292298964594,0.08021000437509107,,,0.02432478501299179,-0.0103397341211226,0.056338028169014086,0.05970149253731343,331.9,14.758048651498628,322.0,355.0,0.06959927689062972,18.0,16.431676725154983,-0.565995737240637,-3.263329103741505,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.924728151039915,2.119583880557089,1.8051442704828258,,,,,,0.0,,,0.0,4,10,4,0,0,0,2016,1.0597014925373134,1.0,0.9436619718309859,0.4172957746478873,338.5,0.0,322.0,30.0,322.0,30.0,304.0,40.0,0.16056338028169015,0.1489055598741106,1
2015-10-26,347.5,371.5,347.5,371.5,151.7,0.0,0.024031321722694843,0.049246092128925056,0.07573393844844678,0.07573393844844678,,,0.02374711376934352,-0.02112676056338028,0.06460296096904442,0.06906474820143885,341.8,21.51336793716875,322.0,371.5,0.08689291983616143,12.0,16.431676725154983,-0.6040809956007281,-3.3267466415071905,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.584074779255786,2.919898465584466,2.6641763136713204,,,,,,0.0,,,0.0,0,10,4,0,0,0,2016,1.0690647482014388,1.0,0.9353970390309556,0.4083445491251682,355.0,0.0,338.5,0.0,322.0,30.0,322.0,30.0,0.03633916554508748,0.03569447012997042,1
2015-10-27,360.0,388.0,360.0,388.0,155.26,920.0,0.02346736980883324,0.048062643445389464,0.07386913819338758,0.10097858459792919,,,0.023196244623047733,-0.03095558546433378,0.07216494845360824,0.07777777777777778,355.0,26.088790696389136,322.0,388.0,0.09295774647887334,190.0,408.28911325187204,-2.2159385112410095,4.928255189347792,331.1,32.37179842599625,284.0,388.0,0.17185140440954383,110.0,285.073090043004,,,,,,,,,,,,,,,,,,,,,7.529832984336281,3.9527914041164323,3.5770415802198485,,,,,,6.825460036255307,inf,,2.3711340206185567,1,10,4,0,0,0,2016,1.0777777777777777,1.0,0.9278350515463918,0.40015463917525773,371.5,0.0,355.0,0.0,338.5,0.0,322.0,30.0,-0.05154639175257732,-0.05292240145434255,0
