Date,open,high,low,close,adj_close,volume,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,log_return_1d,overnight_gap,intraday_range,close_open_return,ma_5,std_5,min_5,max_5,price_rel_ma_5,vol_ma_5,vol_std_5,return_skew_5,return_kurt_5,ma_10,std_10,min_10,max_10,price_rel_ma_10,vol_ma_10,vol_std_10,return_skew_10,return_kurt_10,ma_20,std_20,min_20,max_20,price_rel_ma_20,vol_ma_20,vol_std_20,return_skew_20,return_kurt_20,ma_50,std_50,min_50,max_50,price_rel_ma_50,vol_ma_50,vol_std_50,return_skew_50,return_kurt_50,macd,macd_signal,macd_diff,rsi_14,bb_upper,bb_lower,bb_pct,bb_width,log_volume,vol_change_1d,vol_surge_20,vol_price_ratio,day_of_week,month,quarter,is_month_end,is_month_start,is_quarter_end,nepali_fiscal_year,close_open_ratio,high_close_ratio,low_close_ratio,adj_factor,close_lag_1,vol_lag_1,close_lag_2,vol_lag_2,close_lag_3,vol_lag_3,close_lag_5,vol_lag_5,target_return_5d,target_log_return_5d,target_direction_5d,Company,Year,target_return_60d,target_log_return_60d,target_direction_60d,Energy Generation (GWh),generation_gwh_lag_1y,generation_gwh_lag_2y,generation_gwh_yoy_change,generation_gwh_yoy_pct_change,generation_gwh_rolling_3y_mean,generation_gwh_rolling_3y_std,generation_gwh_expanding_mean,generation_gwh_vs_company_mean,generation_gwh_company_zscore,generation_cumulative_gwh,generation_per_mm_rainfall,generation_to_rainfall_index,Annual Rainfall (mm),rainfall_mm_lag_1y,rainfall_mm_lag_2y,rainfall_mm_yoy_change,rainfall_mm_yoy_pct_change,rainfall_mm_rolling_3y_mean,rainfall_mm_rolling_3y_std,rainfall_mm_expanding_mean,rainfall_mm_vs_company_mean,rainfall_mm_company_zscore,rainfall_cumulative_mm,rainfall_to_generation_index,monsoon_season,dry_season,month_of_year_sin,month_of_year_cos,generation_per_trading_day,rainfall_year_progress,hydro_lag_imputed
2018-01-01,888.0,915.0,878.0,915.0,350.23,17693.0,0.0315445334590009,0.0315445334590009,0.0246335683566893,-0.0075940041370321,-0.0418832412321497,-0.0348068125447831,0.0310572260911628,0.0011273957158962,0.0404371584699453,0.0304054054054054,896.6,11.781341180128717,887.0,915.0,0.0205219718938209,14532.0,7577.4105405474,1.2440952160267735,2.396433232116733,914.5,23.124061542429487,887.0,959.0,0.0005467468562054,12870.3,5465.053340189172,1.044308867353655,2.0587224313678782,931.3,23.77105714720865,887.0,959.0,-0.0175024159776655,12934.9,4204.249390419358,0.5334089482279438,1.5279947620222152,870.42,76.65775783786404,755.0,960.0,0.0512166540290894,18060.38,16609.790776170616,2.4923861523851465,9.14829841538602,2.4958224535304225,11.846314174911804,-9.35049172138138,37.6,978.8421142944172,883.7578857055827,0.3285730426390185,0.1020983878329588,9.780980878043332,1.7456548727498449,1.3678497707751895,19.336612021857924,0,1,1,0,1,0,2018,1.0304054054054057,1.0,0.9595628415300548,0.3827650273224044,887.0,6444.0,887.0,6444.0,893.0,19599.0,922.0,10697.0,-0.0229508196721311,-0.0232182901020072,0,CHCL,2018,-0.2568306010928962,-0.2968312671053689,0.0,152.0,,,,,152.0,,152.0,1.6500000000000057,0.7140248319730638,152.0,0.0798151648813274,1.070035011271941,1904.4,,,,,1904.4,,1904.4,-121.8125,-0.8245950792258985,1904.4,0.9398816757867204,0,1,0.49999999999999994,0.8660254037844387,0.5823754789272031,0.0027397260273972603,0
2018-01-02,915.0,928.0,895.0,895.0,342.58,5932.0,-0.0218427890243555,0.0090127238454289,0.0090127238454289,-0.0066401832574594,-0.0667175198191081,-0.0427785073625974,-0.0220848744469423,0.0,0.0368715083798882,-0.0218579234972677,895.4,11.523888232823012,887.0,915.0,-0.0004467277194549,11222.4,6813.417593249273,1.3127214334309751,2.494922836598596,908.1,17.647473851210957,887.0,937.0,-0.0144257240392027,12484.5,5830.614742699046,1.3419020552001055,2.4938312475957765,929.3,25.089523919904376,887.0,959.0,-0.0369095017755298,12727.95,4447.475126110077,0.4036981247176111,1.1599666796522554,873.0,75.22917367233596,755.0,960.0,0.0252004581901488,18082.36,16592.6478650599,2.5223597576677004,9.271539776814594,0.8193467325509118,9.640920686439626,-8.821573953888715,28.46715328467154,979.4790478398088,879.1209521601912,0.1582238854999894,0.1079932160546836,8.688285266258644,-0.6647261628892782,0.4660609131871197,6.627932960893855,1,1,1,0,0,0,2018,0.9781420765027322,1.0368715083798885,1.0,0.3827709497206704,915.0,17693.0,887.0,6444.0,887.0,6444.0,901.0,22480.0,0.0033519553072625,0.0033463500273441,1,CHCL,2018,-0.20670391061452514,-0.2315587482394942,0.0,152.0,,,,,152.0,,152.0,1.6500000000000057,0.7140248319730638,152.0,0.0798151648813274,1.070035011271941,1904.4,,,,,1904.4,,1904.4,-121.8125,-0.8245950792258985,1904.4,0.9398816757867204,0,1,0.49999999999999994,0.8660254037844387,0.5823754789272031,0.005479452054794521,0
2018-01-03,895.0,900.0,880.0,885.0,338.75,4558.0,-0.0111798703952361,-0.0327784598692288,-0.0022679076343071,-0.008952341944355,-0.055485849714206,-0.0684211973709539,-0.0112428348759282,0.0,0.0225988700564971,-0.0111731843575419,893.8,12.457929202022164,885.0,915.0,-0.0098456030431863,8214.2,5354.69655536134,1.3528851796754775,2.393654190234004,902.9,15.744134710221989,885.0,922.0,-0.0198250083065677,11524.1,6295.998101969346,1.4596469534594485,3.197738388294645,926.05,26.44054900300124,885.0,959.0,-0.0443280600399546,12294.0,4804.292839139797,0.6269342893086407,2.034231290034261,875.6,73.2891951275418,755.0,960.0,0.0107354956601186,18055.66,16613.72334585635,2.531883803270509,9.330771909997702,-1.3011894788439804,7.452498653382904,-8.753688132226884,27.65957446808511,978.9310980060023,873.1689019939975,0.1118650940706602,0.114207867838675,8.424858580213442,-0.2316250842886041,0.3707499593297543,5.150282485875707,2,1,1,0,0,0,2018,0.988826815642458,1.0169491525423728,0.9943502824858758,0.3827683615819209,895.0,5932.0,915.0,17693.0,887.0,6444.0,893.0,19599.0,0.007909604519774,0.0078784875720798,1,CHCL,2018,-0.20903954802259886,-0.2345073099645248,0.0,152.0,,,,,152.0,,152.0,1.6500000000000057,0.7140248319730638,152.0,0.0798151648813274,1.070035011271941,1904.4,,,,,1904.4,,1904.4,-121.8125,-0.8245950792258985,1904.4,0.9398816757867204,0,1,0.49999999999999994,0.8660254037844387,0.5823754789272031,0.00821917808219178,0
2018-01-04,885.0,889.0,882.0,882.0,337.6,4324.0,-0.0033948339483393,-0.0145367505400196,-0.0360620163892299,-0.005655042412818,-0.0433821654246124,-0.0715837527156724,-0.0034006094721085,0.0,0.0079365079365079,-0.0033898305084745,892.8,13.311649033932516,882.0,915.0,-0.0120967741935483,7790.2,5607.857630147058,1.2226932175146386,2.181554893564458,898.9,15.43048929865277,882.0,922.0,-0.0188007564801423,10886.8,6698.691096027758,1.3182772372951514,3.270109236996049,922.65,27.547614282052933,882.0,959.0,-0.0440578767680052,11848.35,5115.523004336323,0.6750107419518067,2.126698859891928,878.14,71.19504970175059,755.0,960.0,0.0043956544514542,18024.28,16638.628107742366,2.535909135516249,9.332580228317225,-3.187066117642076,5.324585699177908,-8.511651816819985,27.08333333333333,977.745228564106,867.554771435894,0.1310932810388311,0.1194282307789647,8.37216741936598,-0.0513383062746818,0.3649453299404558,4.90249433106576,3,1,1,0,0,0,2018,0.9966101694915256,1.007936507936508,1.0,0.3827664399092971,885.0,4558.0,895.0,5932.0,915.0,17693.0,887.0,6444.0,0.0113378684807256,0.0112740765732181,1,CHCL,2018,-0.1870748299319728,-0.20711621540717093,0.0,152.0,,,,,152.0,,152.0,1.6500000000000057,0.7140248319730638,152.0,0.0798151648813274,1.070035011271941,1904.4,,,,,1904.4,,1904.4,-121.8125,-0.8245950792258985,1904.4,0.9398816757867204,0,1,0.49999999999999994,0.8660254037844387,0.5823754789272031,0.010958904109589041,0
2018-01-05,885.0,889.0,882.0,882.0,337.6,4324.0,0.0,-0.0033948339483393,-0.0145367505400196,-0.005655042412818,-0.0433821654246124,-0.0715837527156724,0.0,0.0034013605442176,0.0079365079365079,-0.0033898305084745,891.8,14.024977718434938,882.0,915.0,-0.0109890109890109,7366.2,5811.533291653638,1.2226932175146386,2.181554893564458,894.9,13.884043599128567,882.0,922.0,-0.0144150184378142,10249.5,7014.468923431004,1.3182772372951514,3.270109236996049,919.25,28.18337509206731,882.0,959.0,-0.0405221648082676,11402.7,5370.084544076161,0.6750107419518067,2.126698859891926,880.68,68.94198685136897,757.0,960.0,0.0014988418040604,17992.9,16663.435348151954,2.535909135516249,9.332580228317225,-4.628284952966737,3.334011568748979,-7.962296521715716,23.35766423357664,975.6167501841346,862.8832498158654,0.1695747060251431,0.1226363887606953,8.37216741936598,0.0,0.3792084330904084,4.90249433106576,4,1,1,0,0,0,2018,0.9966101694915256,1.007936507936508,1.0,0.3827664399092971,882.0,4324.0,885.0,4558.0,895.0,5932.0,887.0,6444.0,0.0113378684807256,0.0112740765732181,1,CHCL,2018,-0.1870748299319728,-0.20711621540717093,0.0,152.0,,,,,152.0,,152.0,1.6500000000000057,0.7140248319730638,152.0,0.0798151648813274,1.070035011271941,1904.4,,,,,1904.4,,1904.4,-121.8125,-0.8245950792258985,1904.4,0.9398816757867204,0,1,0.49999999999999994,0.8660254037844387,0.5823754789272031,0.0136986301369863,0
2018-01-08,890.0,897.0,885.0,894.0,342.19,6777.0,0.013595971563981,0.013595971563981,0.0101549815498154,-0.0229563429746166,-0.0303760165481284,-0.0539920380404733,0.0135043756325031,0.0090702947845804,0.0134228187919463,0.0044943820224719,887.6,6.426507605425836,882.0,895.0,0.0072104551599818,5183.0,1114.4756614652897,0.0878952787504451,0.2960987785954667,892.1,10.126423082227989,882.0,915.0,0.0021298060755521,9857.5,7095.744644190421,0.9589870530931572,1.2773569509522562,916.7,28.03775649860229,882.0,959.0,-0.0247627359005128,10877.85,5278.22706752136,0.4846487841378283,1.2076854486927102,883.42,66.6091524016587,757.0,960.0,0.0119761834687917,18044.94,16623.41626448812,2.4948449100994647,9.139615976402553,-4.747436063799796,1.7177220422392234,-6.46515810603902,27.58620689655173,972.7755129972046,860.6244870027955,0.2975943617213838,0.1223421250075369,8.821437352166997,0.5672987974098058,0.6230091424316386,7.580536912751678,0,1,1,0,0,0,2018,1.004494382022472,1.0033557046979866,0.9899328859060402,0.3827628635346756,882.0,4324.0,882.0,4324.0,885.0,4558.0,915.0,17693.0,-0.0072706935123042,-0.0072972538239432,0,CHCL,2018,-0.21476510067114093,-0.24177237114770306,0.0,152.0,,,,,152.0,,152.0,1.6500000000000057,0.7140248319730638,152.0,0.0798151648813274,1.070035011271941,1904.4,,,,,1904.4,,1904.4,-121.8125,-0.8245950792258985,1904.4,0.9398816757867204,0,1,0.49999999999999994,0.8660254037844387,0.5823754789272031,0.021917808219178082,0
2018-01-09,905.0,905.0,888.0,898.0,343.73,10397.0,0.0045004237411965,0.0181575829383886,0.0181575829383886,0.0033568801447838,-0.0033055934120103,-0.0507318420325877,0.0044903271156665,0.0123042505592841,0.0189309576837416,-0.0077348066298342,888.2,7.362064927898695,882.0,898.0,0.0110335510020265,6076.0,2627.0598584726854,0.2203452350102326,0.3487565005054414,891.8,9.874771445808069,882.0,915.0,0.0069522314420273,8649.2,5572.850792507993,0.9463339073241952,1.6935132930012369,914.3,27.4458318185435,882.0,959.0,-0.0178278464398993,10713.65,5237.35707027679,0.4412240487512635,1.0763358117718211,886.18,64.2065194731117,757.0,960.0,0.0133381480060486,18038.74,16626.266499323592,2.4932362599542266,9.13362110883476,-4.467597919138598,0.4806580499636588,-4.948255969102257,34.64566929133858,969.191663637087,859.4083363629129,0.3515257243088274,0.1200736380555333,9.24936875894366,0.5341596576656338,0.9704442463586171,11.577951002227172,1,1,1,0,0,0,2018,0.9922651933701656,1.0077951002227172,0.9888641425389756,0.3827728285077951,894.0,6777.0,882.0,4324.0,882.0,4324.0,895.0,5932.0,-0.0167037861915367,-0.0168448676982396,0,CHCL,2018,-0.21158129175946547,-0.23772597460847986,0.0,152.0,,,,,152.0,,152.0,1.6500000000000057,0.7140248319730638,152.0,0.0798151648813274,1.070035011271941,1904.4,,,,,1904.4,,1904.4,-121.8125,-0.8245950792258985,1904.4,0.9398816757867204,0,1,0.49999999999999994,0.8660254037844387,0.5823754789272031,0.024657534246575342,0
2018-01-10,893.0,903.0,884.0,892.0,341.43,9988.0,-0.0066912984028162,-0.0022209883398112,0.0113447867298577,0.007911439114391,-0.0011117287381878,-0.0649852119618797,-0.0067137855080635,-0.0055679287305122,0.0213004484304932,-0.0011198208286674,889.6,7.266360850012608,882.0,898.0,0.0026978417266185,7162.0,2945.683876453576,0.8815747950764855,0.4286696381114865,891.7,9.86632882283373,882.0,915.0,0.0003364360210833,7688.1,4111.868011554576,0.9316743811284977,1.7988294868611845,911.2,26.198834847559382,882.0,959.0,-0.0210711150131694,10512.5,5181.003240584461,0.6227470850863812,1.5337368469084347,888.7,61.821748369182366,757.0,960.0,0.0037132890739282,18118.06,16577.15537672495,2.519505603794577,9.199803623758386,-4.67607119133686,-0.5506877982964452,-4.125383393040415,37.288135593220346,963.5976696951188,858.8023303048813,0.3167857453230533,0.1150080546424907,9.20923976653215,-0.0393382706549966,0.9501070154577884,11.197309417040358,2,1,1,0,0,0,2018,0.9988801791713324,1.0123318385650224,0.9910313901345292,0.3827690582959641,898.0,10397.0,894.0,6777.0,882.0,4324.0,885.0,4558.0,-0.0156950672645739,-0.0158195389448927,0,CHCL,2018,-0.18497757847533633,-0.20453965504649005,0.0,152.0,,,,,152.0,,152.0,1.6500000000000057,0.7140248319730638,152.0,0.0798151648813274,1.070035011271941,1904.4,,,,,1904.4,,1904.4,-121.8125,-0.8245950792258985,1904.4,0.9398816757867204,0,1,0.49999999999999994,0.8660254037844387,0.5823754789272031,0.0273972602739726,0
2018-01-11,893.0,903.0,884.0,892.0,341.43,9988.0,0.0,-0.0066912984028162,-0.0022209883398112,0.0113447867298577,0.0056255890669181,-0.0590585900898418,0.0,0.0011210762331838,0.0213004484304932,-0.0011198208286674,891.6,5.899152481721074,882.0,898.0,0.000448631673396,8294.8,2656.3163779938955,0.6942118313753181,1.141730619864474,892.2,9.727395448837145,882.0,915.0,-0.0002241649854293,8042.5,4145.317150445686,0.8057250198705797,1.851038884324605,908.4,25.02504009148115,882.0,959.0,-0.018053720827829,10543.05,5175.754056173779,0.5428800224590358,1.461723562115745,891.04,59.604807366674905,757.0,960.0,0.0010773927096427,18148.54,16560.4350778521,2.55838526121782,9.368583090164774,-4.78611639102121,-1.3977735168413985,-3.388342874179812,37.288135593220346,958.4500801829624,858.3499198170376,0.3361640986383201,0.1101939237845934,9.20923976653215,0.0,0.9473539440674188,11.197309417040358,3,1,1,0,0,0,2018,0.9988801791713324,1.0123318385650224,0.9910313901345292,0.3827690582959641,892.0,9988.0,898.0,10397.0,894.0,6777.0,882.0,4324.0,-0.0156950672645739,-0.0158195389448927,0,CHCL,2018,-0.1625560538116592,-0.17740094744719204,0.0,152.0,,,,,152.0,,152.0,1.6500000000000057,0.7140248319730638,152.0,0.0798151648813274,1.070035011271941,1904.4,,,,,1904.4,,1904.4,-121.8125,-0.8245950792258985,1904.4,0.9398816757867204,0,1,0.49999999999999994,0.8660254037844387,0.5823754789272031,0.030136986301369864,0
2018-01-12,893.0,903.0,884.0,892.0,341.43,9988.0,0.0,0.0,-0.0066912984028162,0.0113447867298577,0.0056255890669181,-0.0590585900898418,0.0,0.0011210762331838,0.0213004484304932,-0.0011198208286674,893.6,2.60768096257879,892.0,898.0,-0.0017905102954342,9427.6,1492.2768844951831,0.6942118313753181,1.141730619864474,892.7,9.55742875674624,882.0,915.0,-0.0007841380082894,8396.9,4144.965659957102,0.8057250198705797,1.851038884324605,905.6,23.443998221994708,882.0,959.0,-0.0150176678445229,10573.6,5170.309533643372,0.5428800224590358,1.461723562115745,893.38,57.20457024693739,757.0,960.0,-0.0015446954263582,18179.02,16543.640577908467,2.55838526121782,9.368583090164774,-4.817791503126841,-2.0817771140984878,-2.736014389028354,37.288135593220346,952.4879964439896,858.7120035560106,0.3549735430021407,0.1035512288957363,9.20923976653215,0.0,0.9446167814178708,11.197309417040358,4,1,1,0,0,0,2018,0.9988801791713324,1.0123318385650224,0.9910313901345292,0.3827690582959641,892.0,9988.0,892.0,9988.0,898.0,10397.0,882.0,4324.0,-0.0156950672645739,-0.0158195389448927,0,CHCL,2018,-0.1625560538116592,-0.17740094744719204,0.0,152.0,,,,,152.0,,152.0,1.6500000000000057,0.7140248319730638,152.0,0.0798151648813274,1.070035011271941,1904.4,,,,,1904.4,,1904.4,-121.8125,-0.8245950792258985,1904.4,0.9398816757867204,0,1,0.49999999999999994,0.8660254037844387,0.5823754789272031,0.03287671232876712,0
