company,feature,corr_with_target_return,mean_value,std_value
BARUN,Energy Generation (GWh),0.08106657200618818,20.242087042532145,1.1053485175343996
BARUN,generation_per_trading_day,0.0810665720061884,0.07755588905184731,0.004235051791319539
BARUN,generation_gwh_yoy_change,0.09544557689615284,0.02129471890971039,1.5829258453387551
BARUN,generation_gwh_yoy_pct_change,0.09621965366056857,0.0041539467806352365,0.0762603810734025
BARUN,generation_gwh_rolling_3y_mean,0.10278010144401153,20.28420705572041,0.6311494377979776
BARUN,generation_gwh_expanding_mean,0.13984478584757282,20.448412698412696,0.27054851181910555
BARUN,generation_gwh_vs_company_mean,0.08106657200618819,-0.00791295746785361,1.1053485175343996
BARUN,generation_gwh_company_zscore,0.08106657200618816,-0.007261427778296749,1.014337365331567
BARUN,generation_cumulative_gwh,0.013686439028217924,93.0484668644906,46.921677980928045
BARUN,generation_per_mm_rainfall,-0.2376909342792503,0.014468062495453772,0.0020066021272858127
BARUN,generation_to_rainfall_index,-0.23769093427925256,1.0017667758936601,0.1389368717604097
BARUN,Annual Rainfall (mm),0.2692138558999548,1419.802522255193,166.0616218901525
BARUN,rainfall_mm_yoy_change,0.1480042764212133,62.60607609312891,135.31706248866072
BARUN,rainfall_mm_yoy_pct_change,0.09098623442982366,0.05768494368707,0.11527952111059057
BARUN,rainfall_mm_rolling_3y_mean,0.10483787659894155,1375.4992334322453,171.67344782780816
BARUN,rainfall_mm_expanding_mean,0.14093550161387522,1317.5699345885732,130.80454574319646
BARUN,rainfall_mm_vs_company_mean,0.26921385589995467,-2.5349777448072,166.06162189015254
BARUN,rainfall_mm_company_zscore,0.2692138558999545,-0.015457972409835827,1.012622684664156
BARUN,rainfall_cumulative_mm,0.009087042094724235,6260.678239366963,3443.458390026071
BARUN,rainfall_to_generation_index,0.2692138558999545,0.9982177382338532,0.1167526145448267
BARUN,monsoon_season,-0.08800447186605219,0.3333333333333333,0.4715211329191707
BARUN,dry_season,0.022770733162817556,0.4268051434223541,0.4947358519449119
BARUN,month_of_year_sin,0.012372736406853213,-0.02008166061647642,0.7090056810892168
BARUN,month_of_year_cos,0.03903899746814943,0.023734115260517503,0.7048678522576168
BARUN,rainfall_year_progress,0.07539766933467644,0.505314298906356,0.2922830816030725
