company,model,rmse,mae,r2,directional_accuracy
RADHI,XGBoost,0.18415321167893314,0.13056273758411407,-0.3131517171859741,0.6610169491525424
RADHI,GradientBoosting,0.1846574828785288,0.13043066990383553,-0.32035315010094023,0.6779661016949152
RADHI,Persistence_Baseline,0.19934488492093355,0.15219219028949738,-0.39250028133392334,0.4808510638297872
RADHI,Regularized_LSTM,0.20537244476149702,0.13346609473228455,-0.4779829978942871,0.43829787234042555
