company,feature,corr_with_target_return,mean_value,std_value
CHCL,Energy Generation (GWh),-0.20991871606327994,150.3981308411215,2.3237701955762624
CHCL,generation_per_trading_day,-0.20991871606328016,0.5762380491996992,0.008903334082667682
CHCL,generation_gwh_yoy_change,-0.2493105495367772,-0.15073363431151268,3.015722872167455
CHCL,generation_gwh_yoy_pct_change,-0.24729904979420855,-0.0008174872070981736,0.01959305572781536
CHCL,generation_gwh_rolling_3y_mean,-0.10037567237025978,150.68297261846203,1.7656306949177134
CHCL,generation_gwh_expanding_mean,-0.104066850059244,151.45306900428642,1.1183941470515186
CHCL,generation_gwh_vs_company_mean,-0.20991871606327972,0.04813084112149886,2.3237701955762624
CHCL,generation_gwh_company_zscore,-0.20991871606328,0.02082825196636389,1.0055937111759687
CHCL,generation_cumulative_gwh,0.1491158676467093,685.4655681259222,345.7427466130217
CHCL,generation_per_mm_rainfall,-0.201322767511841,0.07477380441264932,0.00539931098027055
CHCL,generation_to_rainfall_index,-0.20132276751184192,1.0024484540813552,0.07238538934580484
CHCL,Annual Rainfall (mm),0.15700055951650008,2021.742105263158,146.934302964596
CHCL,rainfall_mm_yoy_change,0.1311808427814389,14.409932279909691,212.15361941273127
CHCL,rainfall_mm_yoy_pct_change,0.14125768478309775,0.012534042079708537,0.09558298900901382
CHCL,rainfall_mm_rolling_3y_mean,0.09338605770223299,2010.8959091654372,85.71237008329923
CHCL,rainfall_mm_expanding_mean,0.20695826888153704,2008.3546058487343,57.797812026309884
CHCL,rainfall_mm_vs_company_mean,0.15700055951650013,-4.470394736842166,146.93430296459596
CHCL,rainfall_mm_company_zscore,0.15700055951650024,-0.03026179991542241,0.9946541052362706
CHCL,rainfall_cumulative_mm,0.1493094110618587,9200.043974422037,4723.975044118572
CHCL,rainfall_to_generation_index,0.15700055951649974,0.997793718705791,0.07251672910151129
CHCL,monsoon_season,-0.0929893056176463,0.3325135268076734,0.47122978239281815
CHCL,dry_season,-0.004665911012057655,0.4244958189867191,0.49438784834756105
CHCL,month_of_year_sin,0.1165329674578752,-0.017759526692826013,0.7079271303937145
CHCL,month_of_year_cos,-0.06688663981638562,0.01878807300674198,0.7061604510504733
CHCL,rainfall_year_progress,-0.03208524550653332,0.5047385590411846,0.29161553156114833
