company,feature,corr_with_target_return,mean_value,std_value
RADHI,Energy Generation (GWh),0.16160446358763414,22.242922606924648,0.6862419250842803
RADHI,generation_per_trading_day,0.16160446358763403,0.0852219256970293,0.0026292794064531793
RADHI,generation_gwh_yoy_change,0.11438218704213128,-0.1257515598411798,0.9331792043649799
RADHI,generation_gwh_yoy_pct_change,0.1126673644540012,-0.004689667769095095,0.042673685833528915
RADHI,generation_gwh_rolling_3y_mean,-0.010717493998059852,22.31053122878479,0.4255317485443019
RADHI,generation_gwh_expanding_mean,0.08767515120187193,22.456868574823,0.18025132048528522
RADHI,generation_gwh_vs_company_mean,0.16160446358763397,-0.044577393075357755,0.6862419250842802
RADHI,generation_gwh_company_zscore,0.16160446358763408,-0.06361103522198998,0.9792532998407538
RADHI,generation_cumulative_gwh,0.06672430829167912,104.40880855397148,50.327709243349695
RADHI,generation_per_mm_rainfall,-0.14963894596016913,0.006276969043308211,0.000621164329638062
RADHI,generation_to_rainfall_index,-0.14963894596015992,1.0045284198353628,0.09940740797099087
RADHI,Annual Rainfall (mm),0.17017655299297135,3583.7984215885945,432.89140534992293
RADHI,rainfall_mm_yoy_change,0.04869359500663012,-41.583550765740235,706.6418010614445
RADHI,rainfall_mm_yoy_pct_change,0.07029765229338751,0.008731974259636144,0.22028221578039767
RADHI,rainfall_mm_rolling_3y_mean,0.03540638970018516,3584.4145112016295,228.73825262403844
RADHI,rainfall_mm_expanding_mean,0.12312584669448197,3558.9695234458354,168.26656264923625
RADHI,rainfall_mm_vs_company_mean,0.17017655299297132,-27.476578411405495,432.8914053499228
RADHI,rainfall_mm_company_zscore,0.17017655299297124,-0.059800857951269694,0.9421579736766249
RADHI,rainfall_cumulative_mm,0.06943944415265683,16784.39271894094,8333.84374093747
RADHI,rainfall_to_generation_index,0.17017655299297135,0.9923914466742619,0.11987217959028953
RADHI,monsoon_season,-0.20075611094360155,0.34419551934826886,0.47522621308374885
RADHI,dry_season,0.01132461610036266,0.4088594704684318,0.49174844014189967
RADHI,month_of_year_sin,0.21003699751651772,-0.044004901141651745,0.7048326193742979
RADHI,month_of_year_cos,-0.010697399549208298,0.008183195911264934,0.7083191275251046
RADHI,rainfall_year_progress,-0.10437022182028816,0.5172685325148275,0.2880774788737753
