company,model,rmse,mae,r2,directional_accuracy,source_file
BARUN,Regularized_LSTM,0.1543866029425309,0.12984445691108704,0.0970773696899414,0.7616822429906542,hydro_market_model_results_BARUN.csv
BARUN,Persistence_Baseline,0.18746104431785215,0.15601079165935516,-0.33123087882995605,0.6495327102803738,hydro_market_model_results_BARUN.csv
BARUN,GradientBoosting,0.23218946206164973,0.19428807896893127,-0.5184876769183748,0.5,hydro_market_model_results_BARUN.csv
BARUN,XGBoost,0.23297019200739022,0.19553162157535553,-0.5287165641784668,0.5427631578947368,hydro_market_model_results_BARUN.csv
CHCL,XGBoost,0.0669557715719691,0.053379107266664505,0.2980538606643677,0.7901639344262295,hydro_market_model_results_CHCL.csv
CHCL,Regularized_LSTM,0.076496088409073,0.06446981430053711,0.09982800483703613,0.7428571428571429,hydro_market_model_results_CHCL.csv
CHCL,Persistence_Baseline,0.08136499993949739,0.06755474209785461,-0.018409132957458496,0.636734693877551,hydro_market_model_results_CHCL.csv
CHCL,GradientBoosting,0.08880732511867888,0.07234900081061861,-0.23488175290476954,0.7049180327868853,hydro_market_model_results_CHCL.csv
RADHI,XGBoost,0.18415321167893314,0.13056273758411407,-0.3131517171859741,0.6610169491525424,hydro_market_model_results_RADHI.csv
RADHI,GradientBoosting,0.1846574828785288,0.13043066990383553,-0.32035315010094023,0.6779661016949152,hydro_market_model_results_RADHI.csv
RADHI,Persistence_Baseline,0.19934488492093355,0.15219219028949738,-0.39250028133392334,0.4808510638297872,hydro_market_model_results_RADHI.csv
RADHI,Regularized_LSTM,0.20537244476149702,0.13346609473228455,-0.4779829978942871,0.43829787234042555,hydro_market_model_results_RADHI.csv
